FNCR3030 Equity,
Date,PX_LAST
8/31/2004,5.55
9/30/2004,5.51
10/29/2004,5.46
11/30/2004,5.59
12/31/2004,5.53
1/31/2005,5.45
2/28/2005,5.56
3/31/2005,5.88
4/29/2005,5.6
5/31/2005,5.46
6/30/2005,5.41
7/29/2005,5.63
8/31/2005,5.61
9/30/2005,5.83
10/31/2005,6.13
11/30/2005,6.15
12/30/2005,6.06
1/31/2006,6.09
2/28/2006,6.1
3/31/2006,6.35
4/28/2006,6.45
5/31/2006,6.573
6/30/2006,6.75
7/31/2006,6.52
8/31/2006,6.32
9/29/2006,6.168
10/31/2006,6.21
11/30/2006,6.03
12/29/2006,6.138
1/31/2007,6.299
2/28/2007,6.07
3/30/2007,6.118
4/30/2007,6.146
5/31/2007,6.366
6/29/2007,6.607
7/31/2007,6.598
8/31/2007,6.375
9/28/2007,6.248
10/31/2007,6.074
11/30/2007,5.832
12/31/2007,5.921
1/31/2008,5.408
2/29/2008,5.728
3/31/2008,5.587
4/30/2008,5.795
5/30/2008,6.017
6/30/2008,6.157
7/31/2008,6.28
8/29/2008,6.053
9/30/2008,5.77
10/31/2008,6.301
11/28/2008,5.091
12/31/2008,4.283
1/30/2009,4.724
2/27/2009,4.759
