MTGEFNCL Equity,
Date,PX_LAST
3/31/2003,5.009
4/30/2003,4.908
5/30/2003,4.405
6/30/2003,4.648
7/31/2003,5.722
8/29/2003,5.67
9/30/2003,5.012
10/31/2003,5.335
11/28/2003,5.41
12/31/2003,5.276
1/30/2004,5.192
2/27/2004,5.001
3/31/2004,4.937
4/30/2004,5.592
5/31/2004,5.752
6/30/2004,5.589
7/30/2004,5.484
8/31/2004,5.162
9/30/2004,5.234
10/29/2004,5.11
11/30/2004,5.265
12/31/2004,5.214
1/31/2005,5.115
2/28/2005,5.339
3/31/2005,5.475
4/29/2005,5.276
5/31/2005,5.021
6/30/2005,5.003
7/29/2005,5.363
8/31/2005,5.149
9/30/2005,5.512
10/31/2005,5.804
11/30/2005,5.846
12/30/2005,5.75
1/31/2006,5.757
2/28/2006,5.728
3/31/2006,6.011
4/28/2006,6.104
5/31/2006,6.305
6/30/2006,6.368
7/31/2006,6.149
8/31/2006,5.933
9/29/2006,5.858
10/31/2006,5.791
11/30/2006,5.573
12/29/2006,5.786
1/31/2007,5.914
2/28/2007,5.723
3/30/2007,5.765
4/30/2007,5.755
5/31/2007,6.042
6/29/2007,6.26
7/31/2007,6.217
8/31/2007,6.006
9/28/2007,5.972
10/31/2007,5.843
11/30/2007,5.394
12/31/2007,5.514
1/31/2008,5.05
2/29/2008,5.341
3/31/2008,5.253
4/30/2008,5.352
5/30/2008,5.706
6/30/2008,5.836
7/31/2008,5.917
8/29/2008,5.818
9/30/2008,5.65
10/31/2008,6.035
11/28/2008,4.829
12/31/2008,3.891
1/30/2009,4.271
2/27/2009,4.455
