FHCR3030 Equity,
Date,PX_LAST
12/31/2001,6.81
1/31/2002,6.64
2/28/2002,6.46
3/29/2002,6.91
4/30/2002,6.53
5/31/2002,6.48
6/28/2002,6.31
7/31/2002,6.08
8/30/2002,5.81
9/30/2002,5.56
10/31/2002,5.6
11/29/2002,5.74
12/31/2002,5.42
1/31/2003,5.5
2/28/2003,5.24
3/31/2003,5.31
4/30/2003,5.18
5/30/2003,4.69
6/30/2003,4.95
7/31/2003,6.03
8/29/2003,5.92
9/30/2003,5.34
10/31/2003,5.59
11/28/2003,5.73
12/31/2003,5.59
1/30/2004,5.45
2/27/2004,5.26
3/31/2004,5.2
4/30/2004,5.84
5/31/2004,6.06
6/30/2004,5.86
7/30/2004,5.72
8/31/2004,5.45
9/30/2004,5.51
10/29/2004,5.36
11/30/2004,5.54
12/31/2004,5.43
1/31/2005,5.33
2/28/2005,5.58
3/31/2005,5.73
4/29/2005,5.52
5/31/2005,5.35
6/30/2005,5.32
7/29/2005,5.65
8/31/2005,5.49
9/30/2005,5.77
10/31/2005,6.06
11/30/2005,6.11
12/30/2005,6.02
1/31/2006,6.03
2/28/2006,6.03
3/31/2006,6.26
4/28/2006,6.36
5/31/2006,6.53
6/30/2006,6.6
7/31/2006,6.43
8/31/2006,6.2
9/29/2006,6.08
10/31/2006,6.01
11/30/2006,5.89
12/29/2006,6.07
1/31/2007,6.13
2/28/2007,5.99
3/30/2007,6.04
4/30/2007,6.04
5/31/2007,6.28
6/29/2007,6.52
7/31/2007,6.47
8/31/2007,6.28
9/28/2007,6.22
10/31/2007,6.08
11/30/2007,5.72
12/31/2007,5.82
1/31/2008,5.46
2/29/2008,5.63
3/31/2008,5.57
4/30/2008,5.63
5/30/2008,5.97
6/30/2008,6.07
7/31/2008,6.18
8/29/2008,6.14
9/30/2008,6.05
10/31/2008,6.37
11/28/2008,4.97
12/31/2008,4.54
1/30/2009,4.67
2/27/2009,4.88
