Date,Month,Year,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1/1/2004,1,2004,102,2,115,35,100,140,41,12,5,337,251,4,30,221,262,55,36,83,82,10,76,17,337,58,68,177,7,25,38,8,54,37,121,211,4,382,61,86,170,1,108,7,166,395,94,5,72,125,13,87,4
2/1/2004,2,2004,100,1,135,26,133,133,43,11,3,296,243,2,29,227,242,47,44,83,86,7,67,30,319,61,66,167,5,26,40,5,42,32,101,197,1,320,70,76,138,2,97,9,172,363,97,4,83,114,15,55,3
3/1/2004,3,2004,103,4,122,40,122,167,40,10,7,334,251,6,37,288,278,65,46,94,114,12,78,34,341,74,85,210,5,32,50,4,42,46,140,221,2,372,64,78,176,3,114,8,179,450,128,6,77,123,13,70,5
4/1/2004,4,2004,118,3,162,44,149,204,39,17,2,365,297,5,36,305,292,66,68,112,134,13,66,30,392,76,86,209,12,41,52,3,55,57,144,253,3,414,95,82,166,4,125,4,232,485,158,2,84,158,21,82,4
5/1/2004,5,2004,92,3,140,41,123,200,67,11,2,363,321,8,42,279,304,71,55,110,110,10,79,39,413,89,97,257,6,28,47,8,65,57,142,270,4,438,86,72,193,4,146,5,211,517,131,4,82,176,10,89,5
6/1/2004,6,2004,104,6,133,39,135,230,45,11,1,346,304,5,33,290,305,72,60,100,131,18,79,32,697,111,75,218,13,38,27,11,56,55,124,263,2,406,90,93,199,4,153,4,238,439,156,2,79,157,20,80,2
7/1/2004,7,2004,105,1,137,43,106,222,41,5,1,360,298,3,26,289,343,61,50,99,125,16,61,33,396,99,101,222,7,37,31,7,55,71,157,286,0,421,98,91,197,0,130,9,253,463,127,3,71,133,13,81,3
8/1/2004,8,2004,89,7,138,43,110,204,49,11,5,340,311,6,25,274,331,82,53,104,160,12,77,41,444,83,77,202,8,49,16,6,52,49,151,290,2,429,126,81,211,3,140,10,222,518,133,3,76,142,26,79,5
9/1/2004,9,2004,117,2,134,42,116,196,42,10,3,346,307,6,19,301,313,62,60,96,142,8,72,39,414,86,81,218,5,36,23,6,66,52,132,305,3,456,110,95,201,2,157,5,213,526,127,2,70,138,16,77,1
10/1/2004,10,2004,103,2,125,46,129,213,36,10,2,288,289,4,33,293,302,64,50,127,99,15,70,29,344,77,65,203,8,35,24,10,63,50,119,277,2,469,81,71,214,5,135,7,221,541,127,0,71,153,22,101,5
11/1/2004,11,2004,93,1,109,40,153,244,29,7,3,262,275,2,37,277,318,53,60,90,86,8,63,27,389,70,78,205,9,39,14,8,52,50,110,291,2,446,105,77,181,4,157,6,189,523,118,2,66,124,13,67,4
12/1/2004,12,2004,91,2,78,34,157,291,31,15,5,268,278,2,31,298,292,76,68,115,94,14,85,28,549,108,76,214,9,43,19,6,51,22,127,275,0,507,97,70,191,4,176,5,212,524,124,3,54,126,10,88,3
1/1/2005,1,2005,111,1,118,43,195,268,38,21,6,292,343,7,41,281,334,77,58,105,89,11,91,38,374,86,94,232,7,37,16,7,45,44,129,289,3,503,111,103,246,5,165,13,219,604,122,2,61,124,19,92,3
2/1/2005,2,2005,99,6,110,36,156,271,41,12,3,256,310,3,28,273,301,51,61,102,100,10,51,33,394,96,80,233,11,52,18,9,45,41,141,284,3,463,91,86,197,2,174,7,194,522,117,4,57,147,19,96,4
3/1/2005,3,2005,117,3,122,39,136,270,27,12,0,249,316,1,33,277,310,80,71,99,104,9,47,29,380,92,81,232,9,41,15,5,49,34,111,279,6,468,110,64,215,6,146,5,221,572,106,2,54,130,15,99,5
4/1/2005,4,2005,123,4,124,49,178,325,40,21,1,286,402,5,40,335,402,79,75,110,121,8,78,37,482,123,99,288,7,53,27,11,52,64,168,278,0,565,100,83,244,4,165,5,239,710,135,1,86,143,24,103,8
5/1/2005,5,2005,117,2,84,44,90,307,26,9,1,259,381,4,40,310,362,85,76,110,110,13,59,35,556,122,79,253,10,38,20,12,56,44,143,312,2,561,114,74,197,5,171,7,228,640,162,3,61,127,19,127,7
6/1/2005,6,2005,95,3,87,43,125,300,47,13,5,235,351,5,41,297,393,64,81,112,127,11,64,37,554,167,75,243,15,54,28,9,62,32,134,282,4,525,96,72,198,9,188,8,216,737,134,4,49,112,10,110,6
7/1/2005,7,2005,108,1,69,40,171,322,31,10,4,243,389,3,43,316,366,89,72,117,109,9,53,48,565,130,98,271,7,51,27,10,69,51,142,303,4,614,111,81,235,5,173,9,236,685,155,2,57,151,14,118,8
8/1/2005,8,2005,86,1,71,43,161,295,44,13,2,211,330,3,39,280,332,70,64,117,119,5,46,49,435,104,111,246,10,40,19,10,61,38,131,288,1,522,110,63,244,4,161,7,232,652,143,1,32,124,25,117,1
9/1/2005,9,2005,95,1,75,54,178,322,38,13,0,226,433,3,43,336,414,87,83,142,97,8,69,42,549,113,100,295,9,43,19,18,82,53,139,328,2,583,104,67,228,7,176,5,242,742,131,2,56,138,25,91,7
10/1/2005,10,2005,94,3,74,38,278,321,43,11,1,184,400,5,32,300,385,72,67,149,59,19,66,61,492,90,62,279,8,53,33,12,69,46,120,290,3,610,116,49,212,3,192,6,288,719,130,4,72,118,26,86,5
11/1/2005,11,2005,130,0,57,45,224,333,39,11,3,203,470,4,37,319,388,87,76,116,108,10,56,50,561,137,92,267,7,39,27,12,61,45,145,347,2,697,101,54,213,8,176,12,281,811,143,2,59,106,20,118,2
12/1/2005,12,2005,121,3,49,40,184,339,31,11,2,202,500,1,38,306,399,78,75,115,123,11,61,49,593,138,96,301,5,56,26,10,55,32,137,284,2,649,106,60,214,4,184,6,300,805,129,2,55,100,27,89,5
1/1/2006,1,2006,126,4,41,36,194,395,32,11,0,212,480,3,39,302,415,72,80,111,103,6,57,49,514,122,89,299,3,53,37,19,64,38,128,307,6,636,123,39,234,8,153,6,266,810,131,1,65,101,23,100,6
2/1/2006,2,2006,103,3,44,58,170,388,32,18,2,184,540,2,27,327,424,84,84,104,146,10,47,49,700,169,86,308,4,45,33,17,77,29,151,348,4,654,126,56,203,12,150,8,311,938,116,3,72,106,22,104,8
3/1/2006,3,2006,108,2,33,49,157,437,48,9,2,186,582,2,29,355,395,76,90,152,155,12,54,72,600,154,89,363,12,61,24,19,68,32,148,306,3,682,132,36,203,8,175,11,312,943,124,1,63,96,11,122,5
4/1/2006,4,2006,134,9,41,49,250,551,57,14,2,195,737,2,34,407,567,123,121,140,190,18,65,71,838,235,89,453,7,81,48,20,79,39,190,388,2,896,130,61,280,18,179,14,387,1130,156,2,81,101,31,144,8
5/1/2006,5,2006,135,1,36,51,261,578,50,9,2,186,718,6,14,450,503,102,87,175,165,18,46,99,819,211,81,406,10,48,61,37,73,34,184,317,6,773,115,36,257,16,191,6,340,1019,131,3,69,92,27,133,5
6/1/2006,6,2006,134,2,34,48,321,599,48,16,1,208,699,2,29,440,492,109,108,165,119,17,59,125,923,255,90,426,7,72,59,21,92,31,188,389,2,763,124,48,269,23,177,7,377,1148,146,2,83,91,19,140,9
7/1/2006,7,2006,131,5,45,57,414,614,54,11,5,203,795,1,29,494,543,99,110,175,139,23,61,125,947,282,95,428,7,65,70,28,91,34,185,360,6,748,144,47,251,30,198,4,403,1183,159,0,95,111,25,162,6
8/1/2006,8,2006,138,2,118,52,430,592,63,11,3,260,771,6,26,480,554,102,108,173,127,20,67,126,841,239,93,416,5,62,79,25,101,25,188,411,7,781,141,64,268,28,218,15,356,1161,132,8,118,122,23,164,5
9/1/2006,9,2006,157,6,96,59,582,660,63,21,6,271,821,6,29,582,599,107,114,185,113,15,79,160,1001,284,105,494,11,58,104,35,112,43,220,426,4,886,175,61,246,38,181,9,385,1257,136,3,118,136,26,183,8
10/1/2006,10,2006,137,11,92,64,656,623,77,12,8,283,792,16,31,506,515,104,102,187,85,18,88,192,933,265,104,427,11,78,97,36,129,40,248,401,4,946,159,44,267,36,226,20,380,1164,132,5,113,136,20,162,7
