Date,Year,Month,National
1/1/1983,1983,1,1075.7
2/1/1983,1983,2,1112.16
3/1/1983,1983,3,1130.03
4/1/1983,1983,4,1226.2
5/1/1983,1983,5,1199.98
6/1/1983,1983,6,1221.96
7/1/1983,1983,7,1199.22
8/1/1983,1983,8,1216.16
9/1/1983,1983,9,1233.13
10/1/1983,1983,10,1225.2
11/1/1983,1983,11,1276.02
12/1/1983,1983,12,1258.64
1/1/1984,1984,1,1220.58
2/1/1984,1984,2,1154.63
3/1/1984,1984,3,1164.89
4/1/1984,1984,4,1170.75
5/1/1984,1984,5,1104.85
6/1/1984,1984,6,1132.4
7/1/1984,1984,7,1115.28
8/1/1984,1984,8,1224.38
9/1/1984,1984,9,1206.71
10/1/1984,1984,10,1207.38
11/1/1984,1984,11,1188.94
12/1/1984,1984,12,1211.57
1/1/1985,1985,1,1286.77
2/1/1985,1985,2,1284.01
3/1/1985,1985,3,1266.78
4/1/1985,1985,4,1258.06
5/1/1985,1985,5,1315.41
6/1/1985,1985,6,1335.46
7/1/1985,1985,7,1347.45
8/1/1985,1985,8,1334.01
9/1/1985,1985,9,1328.63
10/1/1985,1985,10,1374.31
11/1/1985,1985,11,1472.13
12/1/1985,1985,12,1546.67
1/1/1986,1986,1,1570.99
2/1/1986,1986,2,1709.06
3/1/1986,1986,3,1818.61
4/1/1986,1986,4,1783.98
5/1/1986,1986,5,1876.71
6/1/1986,1986,6,1892.72
7/1/1986,1986,7,1775.31
8/1/1986,1986,8,1898.34
9/1/1986,1986,9,1767.58
10/1/1986,1986,10,1877.71
11/1/1986,1986,11,1914.23
12/1/1986,1986,12,1895.95
1/1/1987,1987,1,2158.04
2/1/1987,1987,2,2223.99
3/1/1987,1987,3,2304.69
4/1/1987,1987,4,2286.36
5/1/1987,1987,5,2291.57
6/1/1987,1987,6,2418.53
7/1/1987,1987,7,2572.07
8/1/1987,1987,8,2662.95
9/1/1987,1987,9,2596.28
10/1/1987,1987,10,1993.53
11/1/1987,1987,11,1833.55
12/1/1987,1987,12,1938.83
1/1/1988,1988,1,1958.22
2/1/1988,1988,2,2071.62
3/1/1988,1988,3,1988.06
4/1/1988,1988,4,2032.33
5/1/1988,1988,5,2031.12
6/1/1988,1988,6,2141.71
7/1/1988,1988,7,2128.73
8/1/1988,1988,8,2031.65
9/1/1988,1988,9,2112.91
10/1/1988,1988,10,2148.65
11/1/1988,1988,11,2114.51
12/1/1988,1988,12,2168.57
1/1/1989,1989,1,2342.32
2/1/1989,1989,2,2258.39
3/1/1989,1989,3,2293.62
4/1/1989,1989,4,2418.8
5/1/1989,1989,5,2480.15
6/1/1989,1989,6,2440.06
7/1/1989,1989,7,2660.66
8/1/1989,1989,8,2737.27
9/1/1989,1989,9,2692.82
10/1/1989,1989,10,2645.08
11/1/1989,1989,11,2706.27
12/1/1989,1989,12,2753.2
1/1/1990,1990,1,2590.54
2/1/1990,1990,2,2627.25
3/1/1990,1990,3,2707.21
4/1/1990,1990,4,2656.76
5/1/1990,1990,5,2876.66
6/1/1990,1990,6,2880.69
7/1/1990,1990,7,2905.2
8/1/1990,1990,8,2614.36
9/1/1990,1990,9,2452.48
10/1/1990,1990,10,2442.33
11/1/1990,1990,11,2559.65
12/1/1990,1990,12,2633.66
1/1/1991,1991,1,2736.39
2/1/1991,1991,2,2882.18
3/1/1991,1991,3,2913.86
4/1/1991,1991,4,2887.87
5/1/1991,1991,5,3027.5
6/1/1991,1991,6,2906.75
7/1/1991,1991,7,3024.82
8/1/1991,1991,8,3043.6
9/1/1991,1991,9,3016.77
10/1/1991,1991,10,3069.1
11/1/1991,1991,11,2894.68
12/1/1991,1991,12,3168.83
1/1/1992,1992,1,3223.39
2/1/1992,1992,2,3267.67
3/1/1992,1992,3,3235.47
4/1/1992,1992,4,3359.12
5/1/1992,1992,5,3396.88
6/1/1992,1992,6,3318.52
7/1/1992,1992,7,3393.78
8/1/1992,1992,8,3257.35
9/1/1992,1992,9,3271.66
10/1/1992,1992,10,3226.28
11/1/1992,1992,11,3305.16
12/1/1992,1992,12,3301.11
1/1/1993,1993,1,3310.03
2/1/1993,1993,2,3370.81
3/1/1993,1993,3,3435.11
4/1/1993,1993,4,3427.55
5/1/1993,1993,5,3527.43
6/1/1993,1993,6,3516.08
7/1/1993,1993,7,3539.47
8/1/1993,1993,8,3651.25
9/1/1993,1993,9,3555.12
10/1/1993,1993,10,3680.59
11/1/1993,1993,11,3683.95
12/1/1993,1993,12,3754.09
1/1/1994,1994,1,3978.36
2/1/1994,1994,2,3832.02
3/1/1994,1994,3,3635.96
4/1/1994,1994,4,3681.69
5/1/1994,1994,5,3758.37
6/1/1994,1994,6,3624.96
7/1/1994,1994,7,3764.5
8/1/1994,1994,8,3913.42
9/1/1994,1994,9,3843.19
10/1/1994,1994,10,3908.12
11/1/1994,1994,11,3739.23
12/1/1994,1994,12,3834.44
1/1/1995,1995,1,3843.86
2/1/1995,1995,2,4011.05
3/1/1995,1995,3,4157.69
4/1/1995,1995,4,4321.27
5/1/1995,1995,5,4465.14
6/1/1995,1995,6,4556.1
7/1/1995,1995,7,4708.47
8/1/1995,1995,8,4610.56
9/1/1995,1995,9,4789.08
10/1/1995,1995,10,4755.48
11/1/1995,1995,11,5074.49
12/1/1995,1995,12,5117.12
1/1/1996,1996,1,5395.3
2/1/1996,1996,2,5485.62
3/1/1996,1996,3,5587.14
4/1/1996,1996,4,5569.08
5/1/1996,1996,5,5643.18
6/1/1996,1996,6,5654.63
7/1/1996,1996,7,5528.91
8/1/1996,1996,8,5616.21
9/1/1996,1996,9,5882.17
10/1/1996,1996,10,6029.38
11/1/1996,1996,11,6521.7
12/1/1996,1996,12,6448.27
1/1/1997,1997,1,6813.09
2/1/1997,1997,2,6877.74
3/1/1997,1997,3,6583.48
4/1/1997,1997,4,7008.99
5/1/1997,1997,5,7331.04
6/1/1997,1997,6,7672.79
7/1/1997,1997,7,8222.61
8/1/1997,1997,8,7622.42
9/1/1997,1997,9,7945.26
10/1/1997,1997,10,7442.08
11/1/1997,1997,11,7823.13
12/1/1997,1997,12,7908.25
1/1/1998,1998,1,7906.5
2/1/1998,1998,2,8545.72
3/1/1998,1998,3,8799.81
4/1/1998,1998,4,9063.37
5/1/1998,1998,5,8899.95
6/1/1998,1998,6,8952.02
7/1/1998,1998,7,8883.29
8/1/1998,1998,8,7539.07
9/1/1998,1998,9,7842.62
10/1/1998,1998,10,8592.1
11/1/1998,1998,11,9116.55
12/1/1998,1998,12,9181.43
1/1/1999,1999,1,9358.83
2/1/1999,1999,2,9306.58
3/1/1999,1999,3,9786.16
4/1/1999,1999,4,10789.04
5/1/1999,1999,5,10559.74
6/1/1999,1999,6,10970.8
7/1/1999,1999,7,10655.15
8/1/1999,1999,8,10829.28
9/1/1999,1999,9,10336.95
10/1/1999,1999,10,10729.86
11/1/1999,1999,11,10877.81
12/1/1999,1999,12,11497.12
1/1/2000,2000,1,10940.53
2/1/2000,2000,2,10128.31
3/1/2000,2000,3,10921.92
4/1/2000,2000,4,10733.91
5/1/2000,2000,5,10522.33
6/1/2000,2000,6,10447.89
7/1/2000,2000,7,10521.98
8/1/2000,2000,8,11215.1
9/1/2000,2000,9,10650.92
10/1/2000,2000,10,10971.14
11/1/2000,2000,11,10414.49
12/1/2000,2000,12,10787.99
1/1/2001,2001,1,10887.36
2/1/2001,2001,2,10495.28
3/1/2001,2001,3,9878.78
4/1/2001,2001,4,10734.97
5/1/2001,2001,5,10911.94
6/1/2001,2001,6,10502.4
7/1/2001,2001,7,10522.81
8/1/2001,2001,8,9949.75
9/1/2001,2001,9,8847.56
10/1/2001,2001,10,9075.14
11/1/2001,2001,11,9851.56
12/1/2001,2001,12,10021.57
1/1/2002,2002,1,9920
2/1/2002,2002,2,10106.13
3/1/2002,2002,3,10403.94
4/1/2002,2002,4,9946.22
5/1/2002,2002,5,9925.25
6/1/2002,2002,6,9243.26
7/1/2002,2002,7,8736.59
8/1/2002,2002,8,8663.5
9/1/2002,2002,9,7591.93
10/1/2002,2002,10,8397.03
11/1/2002,2002,11,8896.09
12/1/2002,2002,12,8341.63
1/1/2003,2003,1,8053.81
2/1/2003,2003,2,7891.08
3/1/2003,2003,3,7992.13
4/1/2003,2003,4,8480.09
5/1/2003,2003,5,8850.26
6/1/2003,2003,6,8985.44
7/1/2003,2003,7,9233.8
8/1/2003,2003,8,9415.82
9/1/2003,2003,9,9275.06
10/1/2003,2003,10,9801.12
11/1/2003,2003,11,9782.46
12/1/2003,2003,12,10453.92
1/1/2004,2004,1,10488.07
2/1/2004,2004,2,10583.92
3/1/2004,2004,3,10357.7
4/1/2004,2004,4,10225.57
5/1/2004,2004,5,10188.45
6/1/2004,2004,6,10435.48
7/1/2004,2004,7,10139.71
8/1/2004,2004,8,10173.92
9/1/2004,2004,9,10080.27
10/1/2004,2004,10,10027.47
11/1/2004,2004,11,10428.02
12/1/2004,2004,12,10783.01
1/1/2005,2005,1,10489.94
2/1/2005,2005,2,10766.23
3/1/2005,2005,3,10503.76
4/1/2005,2005,4,10192.51
5/1/2005,2005,5,10467.48
6/1/2005,2005,6,10274.97
7/1/2005,2005,7,10640.91
8/1/2005,2005,8,10481.6
9/1/2005,2005,9,10568.7
10/1/2005,2005,10,10440.07
11/1/2005,2005,11,10805.87
12/1/2005,2005,12,10717.5
1/1/2006,2006,1,10864.86
2/1/2006,2006,2,10993.41
3/1/2006,2006,3,11109.32
4/1/2006,2006,4,11367.14
5/1/2006,2006,5,11168.31
6/1/2006,2006,6,11150.22
7/1/2006,2006,7,11185.68
8/1/2006,2006,8,11381.15
9/1/2006,2006,9,11679.07
10/1/2006,2006,10,12080.73
11/1/2006,2006,11,12221.93
12/1/2006,2006,12,12463.15
1/1/2007,2007,1,12621.69
2/1/2007,2007,2,12268.63
3/1/2007,2007,3,12354.35
4/1/2007,2007,4,13062.91
5/1/2007,2007,5,13627.64
6/1/2007,2007,6,13408.62
7/1/2007,2007,7,13211.99
8/1/2007,2007,8,13357.74
9/1/2007,2007,9,13895.63
10/1/2007,2007,10,13930.01
11/1/2007,2007,11,13371.72
12/1/2007,2007,12,13264.82
1/1/2008,2008,1,12650.36
2/1/2008,2008,2,12266.39
3/1/2008,2008,3,12262.89
4/1/2008,2008,4,12820.13
5/1/2008,2008,5,12638.32
6/1/2008,2008,6,11350.01
7/1/2008,2008,7,11378.02
8/1/2008,2008,8,11543.55
9/1/2008,2008,9,10850.66
10/1/2008,2008,10,9325.01
11/1/2008,2008,11,8829.04
12/1/2008,2008,12,8776.39
1/1/2009,2009,1,8000.86
2/1/2009,2009,2,7062.93
3/1/2009,2009,3,7608.92
4/1/2009,2009,4,8168.12
5/1/2009,2009,5,8574.65
